#,Category,Number of Outlet,Remarks,Group Name/Voucher Name,Length,Merchant Name (Tag),Redemption Type  (Tag),Category,Voucher Type,Require daily cap?,Daily Cap Quantity,Require per user limit?,Per user limit Quantity,Total # of Codes,Campaign Start Date,Campaign End Date,Voucher Expiry Date,Promo Code,Description in Goods,Terms and Conditions in Goods,internal url,CRM Offer Name (Prepaid),CRM Offer Name (Postpaid),CRM Offer ID (Postpaid),CRM Offer ID (Postpaid),In App Thumbnail ,,
,,No of Outlets,,"Appear as the title of the rewards in Rewards Section
Not more than 43 characters. To Appear in MyRewards",,,,Category,,"only allow x number of ""get reward""",,only allow X time per user,,total code for promo period,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,,This can be as descriptive as you want,standard T&C to be included,Do we don’t allow bringing user to external party at the moment.,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Key in Y if partner provide the thumbnail .,,
136,"Monthly Rewards
",,,Ministry of Burn: RM20 off 1 class pass,39,Ministry of Burn,online,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"10,000",4/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,40MOBDG,"MyDigi Reward:
Get RM20 off 1 class pass
","Terms and Conditions:
Valid from now till 30 April 2018
Offer is only valid at www.ministryofburn.com
The promotion is valid for unlimited purchase per user account
Coupon code can be used to purchase only 1 class credit and 5 class credit. Any other package will not be eligible for this promo
Register an account >Click on Rates + Packages >Choose 1 CLASS or 5 CLASS package to proceed >Check out and insert promo code >Start booking your slots!
MOB reserves the right to vary and amend the Terms and Conditions without prior notice
",,,,,,Y,,
137,"Monthly Rewards
",,,Ministry of Burn: Buy 5 free 1 class,36,Ministry of Burn,online,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"10,000",4/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,1MOBDG,"MyDigi Reward:
Buy 5 free 1 class","Terms and Conditions:
Valid from now till 30 April 2018
Offer is only valid at www.ministryofburn.com
The promotion is valid for unlimited purchase per user account
Coupon code can be used to purchase only 1 class credit and 5 class credit. Any other package will not be eligible for this promo
Register an account >Click on Rates + Packages >Choose 1 CLASS or 5 CLASS package to proceed >Check out and insert promo code >Start booking your slots!
MOB reserves the right to vary and amend the Terms and Conditions without prior notice
",,,,,,Y,,
138,"Monthly Rewards
",,Disabled on 20/04/2018,PasarTap: 25% off on total bill,31,PasarTap,online,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"10,000",4/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,PASARDIGI25,"MyDigi Reward:
25% off on total bill with minimum purchase of RM30","Terms and Conditions:
Valid from now till 30 April 2018
Valid for MyDigi app user only
Valid at https://www.pasartap.com only
One time off promo
",,,,,,Y,,
139,"Monthly Rewards
",,Disabled on 20/04/2018,PasarTap: Buy 1 free 1 Ayam Kampung,35,PasarTap,online,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"10,000",4/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,AYAMDIGIB1F1,"MyDigi Reward:
Buy 1 ayam kampung and get another 1 for free with minimum purchase of RM30","Terms and Conditions:
Valid from now till 30 April 2018
Valid for MyDigi app user only
Valid at https://www.pasartap.com
One time off promo
",,,,,,Y,,
140,"Monthly Rewards
",,,PTT Outdoor: RM30 off for selected items,40,PTT Outdoor,online,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"10,000",4/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,DIGI30,"MyDigi Reward:
RM30 off for selected items
","Terms and Conditions:
Valid from now till 30 April 2018
Valid for purchase at https://www.pttoutdoor.com/digi-reward-promo/
Valid for selected items only
Free shipping applies for order within Peninsular Malaysia
Stocks will be sent out within 2 working days upon order placement
Coupon cannot be redeemed for cash
",,,,,,Y,,
141,"Monthly Rewards
",,,ShopBack: Aquaria KLCC Ticket at RM25,37,Aquaria KLCC,online,CAT=TRAVEL,"embedded promo code
",No,Unlimited,Yes,1,"10,000",4/1/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,,"MyDigi Reward:
Get Aquaria KLCC Ticket at RM25 only (NP: RM69)","Terms and Conditions:
Valid from now till 30 April 2018
Valid for those who follow the steps to redeem in this Terms and Conditions
Offer is exclusive for Digi users only and the special price is only applicable via the promotion page
Cashback will be reflected in your ShopBack account within 48 hours of purchase
Users need to follow the steps to redeem admission ticket (applicable both on ShopBack and 11Street page)
No refund and cancellation after payment is done
Other ShopBack Terms and Conditions apply
Steps to Redeem RM25 Aquaria Ticket:
1) Click the Redeem button to sign up/log in
2) Choose the 11Street Aquaria deal
3) You will be redirected to 11Street page
4) Pay as per usual at 11Street
5) You will receive the cashback in your ShopBack account within 48 hours
6) You will receive ticket code via email from Wonderfly (11Street)
7) Present the e-ticket at the counter to grant admission",online-www.shopback.my/digi,,,,,Y,,
142,"Monthly Rewards
",11,,Ampang Superbowl: Buy 1 Free 1,30,Ampang Superbowl,offline,CAT=TRAVEL,"generic promo code
",No,Unlimited,No,Unlimited,"10,000",4/1/18 12:00 AM,12/31/18 11:59 PM,12/31/18 11:59 PM,DGAMSPBUY1FREE1,"MyDigi Reward:
Buy 1 Free 1","Terms and Conditions:
Valid from now till 31 December 2018
Present this e-voucher at the counter to enjoy the offer
Valid for prepaid games only
Not applicable with any other promotions
Not valid on Saturday, Sunday and Public Holidays
Not valid for league, tournaments and corporate bookings
Promotion does not include shoe rental and socks purchase
All promotional rates offers are subject to change without prior notice
Participating branches as follow:
1) Berjaya Times Square
2) Ampang Point
3) Subang USJ
4) Kajang
5) Bangi
6) eCurve
7) Ipoh
8) Seri Iskandar
9) Seremban
10) Melaka
11) Kluang
Ampang Superbowl Malaysia reserves the right to change the Terms and Conditions or cancel any promotion at any time without prior notice
",,,,,,Old,,
143,"Monthly Rewards
",38,"Xpiry date chg fr 30/4 to 20/4
Few chgs on tnc/details",Rotiboy: Buy 1 free 1,21,Rotiboy,offline,CAT=F&B,"generic promo code
",No,Unlimited,Yes,1,"30,000",4/20/18 12:00 AM,4/20/18 11:59 PM,4/20/18 11:59 PM,DGRBBUY1FREE1,"MyDigi Reward:
Buy 1 free 1 Rotiboy Signature Bun","Terms and Conditions:
Valid for redemption for 1 day only on 20 April 2018
Applicable to Digi subscribers only
No limit to this Buy 1 Free 1 promo redemption but subject to the redemption ratio of 1:1 per DIGI subscriber
Redemption is limited to Rotiboy Signature Bun category only (i.e Rotiboy/Mochaboy/Buttermilkboy/Kariboy)
The “Free Signature Bun“ redeemed has to be lesser or same price value than the “purchased bun“ under this B1F1 promo
Flavor selected will subject to availability at the time of redemption. Rotiboy reserves the right to offer other flavors under the same category of Signature Bun
Redemption is not valid for any promotion or other bakery items, nor is transferable or exchangeable for cash
Redemption is valid at the following outlets;
Klang Valley
1.    One Utama
2.    KLCC
3.    Mid Valley
4.    Setia City Mall
5.    Alamanda
6.    Wangsa Walk
7.    Petronas Kolam Ayer
8.    Petronas Bukit Antarabangsa
9.    Menara Allianz Sentral
10.    Aeon Subang
11.    Subang Parade
12.    SACC Mall
13.    Petronas Damansara Damai
14.    Petronas Sunway Batu Caves
15.    Petronas Wangsa Melawati
16.    Petronas Kesas Kinrara
17.    MRT Semantan
18.    KIP Mall
19.    MRT Taman Pertama
20.    Lowyat
21.    Kajang
Perak
1.    Terminal Amanjaya Ipoh
2.    Tesco Ipoh
3.    Kampar
4.    Teluk Intan
5.    Tapah
Negeri Sembilan
1.    Mydin Seremban 2
Terengganu
1.    Giant Kuala Terengganu
2.    Mesra Mall Kerteh
Johor
1.    JB Sentral
Pahang
1.    Petronas Tanjung Lumpur
Melaka
1.    Mydin Mall MITC Melaka",,,,,,Old,,
144,"Monthly Rewards
",38,,Rotiboy: Free 1 Rotiboy Signature Bun,37,Rotiboy,offline,CAT=F&B,"generic promo code
",Yes,"1,000",Yes,1,"1,000",4/28/18 12:00 AM,4/28/18 11:59 PM,4/28/18 11:59 PM,DGRBFOCBUN,"MyDigi Reward:
Free 1 Rotiboy Signature Bun","Terms and Conditions:
Valid for redemption on 28 April 2018 only
Applicable to Digi subscribers only
One customer is entitled to redeem ONE Free Rotiboy Signature Bun only
Available to first 1000 redemptions only. First come first served, while stocks last
Redemption is limited to Rotiboy Signature Bun category only (i.e Rotiboy/Mochaboy/Buttermilkboy/Kariboy)
Flavor selected will subject to availability at the time of redemption. Rotiboy reserves the right to offer other flavors under the same category of Signature Bun
Redemption is not valid for any promotion or other bakery items, nor is transferable or exchangeable for cash
Redemption is valid at the following outlets;
Klang Valley
1.    One Utama
2.    KLCC
3.    Mid Valley
4.    Setia City Mall
5.   Alamanda Shopping Mall
6.    Wangsa Walk
7.    Petronas Kolam Air
8.    Petronas Bukit Antarabangsa
9.    Alliance Sentral
10.   Aeon Subang Jaya
11.   Subang Parade
12.   SACC Mall
13.   Petronas Damansara Damai
14.   Petronas Sunway Batu Caves
15.   Petronas Wangsa Melawati
16.   Petronas Kesas Kinrara
17.   MRT Semantan
18.   KIP Mall
19.   MRT Taman Pertama, Cheras
20.   Plaza Low Yat
21.   Kajang Bus Station
22.   Plaza Metro Kajang
23.   101 City Mall, Cyberjaya
24.   Kota Damansara
25.   LRT Taman Melati
Perak
1.  Terminal Amanjaya Ipoh
2.  Tesco Ipoh
3.  Kampar
4.  Teluk Intan
5.  Tapah
Negeri Sembilan
1.  Mydin Seremban 2
Terengganu
1.  Giant Kuala Terengganu
2.  Mesra Mall, Kerteh
Johor
1.  JB Sentral
Pahang
1.  Petronas Tanjung Lumpur
2.  Petronas Jalan Dato Lim Hoe Lek, Kuantan
Melaka
1.  Mydin Mall MITC Melaka
2. Jalan Merdeka, Melaka",,,,,,Y,,
145,"Monthly Rewards
",,,Sports Direct: Extra 20% off Sitewide,37,Sports Direct,online,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"10,000",4/28/18 12:00 AM,5/27/18 11:59 PM,5/27/18 11:59 PM,DIGI20,"MyDigi Reward:
Extra 20% Off Sitewide for Sports Direct Online Store","Terms and Conditions:
Valid from now till 27 May 2018
Valid for purchase via Sports Direct Malaysia at https://my.sportsdirect.com/
Use promotional code at checkout page
Redeemable for one (1) time use only
Promotion is not redeemable or exchangeable for cash
Sports Direct MST Sdn Bhd reserves the right to change the Terms and Conditions without prior notice",https://my.sportsdirect.com/,,,,,Y,,
146,"Monthly Rewards
",,,MisterTyre: RM30 off on any services,36,MisterTyre,online,CAT=OTHERS,"generic promo code
",No,Unlimited,No,Unlimited,"10,000",4/1/18 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,MYDIGI30,"MyDigi Reward:
RM30 off on any services","Terms and Conditions:
Valid from now till 30 June 2018
All users are required to sign up or log in to the MisterTyre mobile app to enjoy the discount
Redemptions are fulfilled by booking a service appointment from within the MisterTyre app
Users are required to enter the promo code from within the MisterTyre app to redeem
This promo code entitles users for a RM30 OFF from total amount of service purchased including GST
Not redeemable and/or exchangeable for cash
Not valid with other on-going promotions unless stated otherwise
MisterTyre operates and has coverage within Klang Valley and selected areas outskirts of KL. Enter your preferred service address on the MisterTyre app to confirm service area coverage
MisterTyre reserves the right to amend these Terms and Conditions without prior notice",,,,,,Y,,
147,"Monthly Rewards
",1,,Mangala Resort & Spa: 50% off Villas,36,"Mangala Resort & Spa
",offline,CAT=TRAVEL,"generic promo code
",No,Unlimited,No,Unlimited,"10,000",4/1/18 12:00 AM,7/31/18 11:59 PM,7/31/18 11:59 PM,DGMANGALA,"MyDigi Reward:
Enjoy 50% off Villas + 10% off on F&B bill @ Mangala Resort & Spa","Terms and Conditions:
Valid from now till 31 July 2018
Villas discount as per below:
-50% discount for Jala Villa Rack Rate of RM1200 nett
-50% discount for Vana Villa Rack Rate of RM1300 nett
Limited Villas only. Subject to availability
Promotion not valid for period June 9th to 23rd
Maximum 2 adults and 2 children in a Villa
Villa rate inclusive of 2 breakfast for adults. Free for children 6 years and below with maximum capped at 2 person
Extra bed RM100 nett with one breakfast
For reservation, call 09-5057788 OR email: reservation@mangalaresortandspa.com
",,,,,,Y,,
148,"Monthly Rewards
",23,,Elianto: RM10 Cash Voucher,26,Elianto,online,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"10,000",4/3/18 12:00 AM,4/30/18 11:59 PM,4/30/18 11:59 PM,DIGIELT10,"MyDigi Reward:
RM10 cash voucher for online shopping. Free shipping above RM50","Terms and Conditions:
Valid from now till 30 April 2018
Valid for purchase via Elianto Make Up online store at www.eliantomakeup.com only
Valid for one (1) transaction only
The value of this voucher stated herein is Ringgit Malaysia
Please enter the promo code for redemption during checkout
This voucher is not exchangeable for cash or any other forms of legal tender
The management reserves the right to vary and amend the Terms and Conditions without prior notice",,,,,,Y,,
149,"Monthly Rewards
",39,"Start date chg fr 9/3 to 15/3 (239 downloaded b4 15/3)
End date chg fr 30/4 to 31/5",SF Coffee: RM20 for 2 x Matcharena Frappé,41,"San Francisco Coffee
",offline,CAT=F&B,"generic promo code
",No,Unlimited,Yes,1,"10,000",4/15/18 12:00 AM,5/31/18 11:59 PM,5/31/18 11:59 PM,DGSF,"MyDigi Reward:
RM20 for 2 x Matcharena Frappé Regular size (NP: RM32)","Terms and Conditions:
Valid from now till 31 May 2018
Valid at all outlets except Genting Sky Avenue
One redemption per customer
Present this e-voucher at the counter to enjoy the offer
Not valid with other existing promotions and discounts
",,,,,,Y,,
150,"Monthly Rewards
",1,,Paco Rabanne: Complimentary Mini Spray (Mid Valley),51,Paco Rabanne,offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,200,4/2/18 12:00 AM,4/8/18 11:59 PM,4/8/18 11:59 PM,DGPACAFREE,"MyDigi Reward:
Complimentary Mini Spray","Terms and Conditions:
Valid for redemption from 2 till 8 April 2018
Limited to One Digi Subscriber per redemption
First come first served and while stocks last basis
Present this e-voucher at Paco Rabanne Metrojaya Midvalley, Mid Valley Megamall At2 Lingkaran Syed Putra, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur
Management reserves the right to vary the gift at any time without prior notice
",,,,,,Y,,
151,"Monthly Rewards
",1,,Paco Rabanne: Get Complimentary Mini Spray (SOGO),49,Paco Rabanne,offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,200,4/3/18 12:00 AM,4/15/18 11:59 PM,4/15/18 11:59 PM,DGPACAFREE,"MyDigi Reward:
Complimentary Mini Spray","Terms and Conditions:
Valid for redemption from 3 till 15 April 2018
Limited to One Digi Subscriber per redemption
First come first served and while stocks last basis
Present this e-voucher at Paco Rabanne SOGO, 190, Jalan Tuanku Abdul Rahman, City Centre, 50100 Kuala Lumpur, Federal Territory of Kuala Lumpur
Management reserves the right to vary the gift at any time without prior notice
",,,,,,Y,,
152,"Monthly Rewards
",1,,Paco Rabanne: Complimentary Mini Spray (KLCC),45,Paco Rabanne,offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,200,4/16/18 12:00 AM,4/22/18 11:59 PM,4/22/18 11:59 PM,DGPACAFREE,"MyDigi Reward:
Complimentary Mini Spray","Terms and Conditions:
Valid for redemption from 16 till 22 April 2018
Limited to One Digi Subscriber per redemption
First come first served and while stocks last basis
Present this e-voucher at Paco Rabanne Parkson KLCC, 1, Jalan Ampang, Kuala Lumpur City Centre, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur
Management reserves the right to vary the gift at any time without prior notice
",,,,,,Y,,
153,"Monthly Rewards
",1,,Carolina Herrera: Complimentary Mini Spray,42,"Carolina Herrera
",offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,100,4/16/18 12:00 AM,4/22/18 11:59 PM,4/22/18 11:59 PM,DFCHFREE,"MyDigi Reward:
Complimentary Mini Spray","Terms and Conditions:
Valid for redemption from 16 till 22 April 2018
Limited to One Digi Subscriber per redemption
First come first served and while stocks last basis
Present this e-voucher at Carolina Herrera SOGO, 190, Jalan Tuanku Abdul Rahman, City Centre, 50100 Kuala Lumpur, Federal Territory of Kuala Lumpur
Management reserves the right to vary the gift at any time without prior notice
",,,,,,Y,,
154,"Monthly Rewards
",,,AXA eMedic: RM30 Digi rebate,28,AXA Life,online,CAT=BEAUTY,"embedded promo code
",No,Unlimited,No,Unlimited,"30,000",4/5/18 12:00 AM,10/4/18 11:59 PM,10/4/18 11:59 PM,,"MyDigi Reward:
Get RM30 Digi rebate and stand a chance to win a Phuket trip with AXA eMedic sign-up","Details:
First online medical card in Malaysia
As low as RM37 (before GST) per month for protection up to RM100,000 for hospital bills per year
Sign-up in 5 minutes with instant approval
5% annual payment discount
Digi rebate will be eligible for Digi mobile number submitted in the Personal Registration form in AXA website
Digi Rebate will be applicable and credited within 90 days upon successful purchase of the online medical card
For Terms and Conditions, please refer to www.axaemedic.com
","online-digi.my/redeemaxaapr18

http://digi.my/redeemaxaapr18",,,,,Y,,
155,"Monthly Rewards
",27,,Guess: 20% off on normal priced items,37,Guess,offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,No,Unlimited,"10,000",4/9/18 12:00 AM,4/22/18 11:59 PM,4/22/18 11:59 PM,DGGUESS,"MyDigi Reward:
20% off on normal priced items only","Terms and Conditions:
Valid from now till 22 April 2018
Applicable to all normal priced item except watches
First come first served and while stocks last basis
Present this e-voucher at the counter to enjoy the offer
Valid at all Guess retail stores in Malaysia
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Y,,
156,"Monthly Rewards
",,,Beli@hurr: Additional 10% off for Awesome Mama,46,Awesome Mama,online,CAT=SHOPPING,"generic promo code
",No,Unlimited,No,Unlimited,"10,000",4/15/18 12:00 AM,6/30/18 11:59 PM,6/30/18 11:59 PM,Digi10,"MyDigi Reward:
Additional 10% off for Awesome Mama","Terms and Conditions:
Valid from now till 30 June 2018
Voucher is applicable for 1 bundle pack, 6 bundle pack or 1 carton
a. 1 bundle pack (5 packs):  Digi price @ RM3.42 (RRP: RM4.80) 
b. 6 bundle packs (30 packs): Digi price @ RM19.71 (RRP RM28.80)
c. 1 carton (60 packs): Digi price: RM38 (RRP: RM57.60)
Voucher is valid for order(s) made at http://www.awesomemama.my/
Enter the promocode at the checkout page to enjoy the offer
",,,,,,Y,,
157,"Monthly Rewards
",,,ASTRO Go Shop: Instant RM25 off,31,ASTRO,online,CAT=SHOPPING,"unique promo code
",No,Unlimited,Yes,1,"1,000",4/16/18 12:00 AM,5/15/18 11:59 PM,5/15/18 11:59 PM,,"MyDigi Reward:
Get Instant RM25 off with minimum spend of RM100","Terms and Conditions:
Valid from now till 15 May 2018
Limited to 1,000 unique promotional discount code on the first-come-first-served basis
Applicable to Digi subscribers who register as new customers of Go Shop during the Promotion Period
The Promo Code entitles you to a RM25 discount off the purchase of selected products (except digital electronics products) with minimum spend of RM100 in a single order purchased from Go Shop’s website at www.goshop.com.my and/or mobile application m.goshop.com.my
The terms herein on the use of the Promo Code shall also be read with the terms and conditions on Go Shop’s General Terms and Conditions on Promo Codes which can be found on www.goshop.com.my
",,,,,,Y,,
158,"Monthly Rewards
",,"Disabled on 25/04/2018 due to invalid promocode
*1800+ code to be replaced by PB team",Lazada Birthday Festival: 10% off,33,Lazada,online,CAT=SHOPPING,"unique promo code
",No,Unlimited,Yes,1,"10,000",4/25/18 12:00 AM,4/27/18 11:59 PM,4/27/18 11:59 PM,,"MyDigi Reward:
Enjoy 10% off with maximum discount capped to RM12","Terms and Conditions:
Valid for redemption from 25 till 27 April 2018 only
Discount of 10% is only applicable with maximum discount capped to RM12 in a single transaction upon checkout on LAZADA’s platform
Available to first ten thousand (10,000) redemptions only
The discount is exclusive of shipping/courier charges
The discount is only for one (1) time redemption per Lazada registered customer and is not valid in conjunction with any other vouchers, offers or promotions and product exclusion may apply
The discount is applicable for spending on LAZADA's app only
Voucher Code must be entered upon checkout to be effective
No cash alternatives or refund will be offered in lieu of discount entitlement
Lazada reserves the right to alter, cancel, terminate or suspend the order or any part thereof or any part of the applicable Terms and Conditions from time to time, with or without any prior notice
Other Lazada’s Terms and Conditions apply, details are available at www.lazada.com.my",,,,,,Y,,
159,"Monthly Rewards
",,,Lazada Birthday Festival: Get 10% off,37,Lazada,online,CAT=SHOPPING,"unique promo code
",No,Unlimited,Yes,1,"10,000",4/25/18 12:00 AM,4/27/18 11:59 PM,4/27/18 11:59 PM,,"MyDigi Reward:
Enjoy 10% off with maximum discount capped to RM12","Terms and Conditions:
Valid for redemption from 25 till 27 April 2018 only
Discount of 10% is only applicable with maximum discount capped to RM12 in a single transaction upon checkout on LAZADA’s platform
Available to first ten thousand (10,000) redemptions only
The discount is exclusive of shipping/courier charges
The discount is only for one (1) time redemption per Lazada registered customer and is not valid in conjunction with any other vouchers, offers or promotions and product exclusion may apply
The discount is applicable for spending on LAZADA's app only
Voucher Code must be entered upon checkout to be effective
No cash alternatives or refund will be offered in lieu of discount entitlement
Lazada reserves the right to alter, cancel, terminate or suspend the order or any part thereof or any part of the applicable Terms and Conditions from time to time, with or without any prior notice
Other Lazada’s Terms and Conditions apply, details are available at www.lazada.com.my",,,,,,Y,,
160,"Monthly Rewards
",,,Stabilo: Additional 20% off,27,Stabilo,online,CAT=SHOPPING,"generic promo code
",No,Unlimited,No,Unlimited,"10,000",4/23/18 12:00 AM,5/23/18 11:59 PM,5/23/18 11:59 PM,STABILODG,"MyDigi Reward:
Enjoy additional 20% off storewide with a minimum purchase of RM30 and above","Terms and Conditions:
Valid for redemption from now till 23 May 2018
Additional 20% off storewide with a minimum purchase of RM30 and above
Promo Code can only be used at STABILO Official Store in SHOPEE marketplace platform at http://bit.ly/STABILODiGi
Please enter the promo code on the check out page
Voucher Code must be entered upon checkout to be effective
No cash alternatives or refund will be offered in lieu of discount entitlement
The discount is exclusive of shipping/courier charges
",,,,,,Y,,
161,"Monthly Rewards
",,,Beli@hurr: RM30 off for MUCA Vita Brightening Ampoule,53,Muca,online,CAT=BEAUTY,"generic promo code
",No,Unlimited,No,Unlimited,"10,000",4/25/18 12:00 AM,7/31/18 11:59 PM,7/31/18 11:59 PM,MUCA30,"MyDigi Reward:
Enjoy RM30 off with Free Shipping when you purchase MUCA Vita Brightening Ampoule 50ml (NP: RM99)","Terms and Conditions:
Valid from now till 31 July 2018
Valid for purchase made via www.muca.com.my/digi
Enter the promocode at the checkout page to enjoy the offer",,,,,,Y,,
162,"Monthly Rewards
",1,,Big Bad Wolf Book Sale: 3% off,30,Big Bad Wolf,offline,CAT=SHOPPING,"unique promo code
",No,Unlimited,Yes,1,"10,000",4/26/18 12:00 AM,5/6/18 11:59 PM,5/6/18 11:59 PM,,"MyDigi Reward:
3% off with minimum purchase of RM50","Terms and Conditions:
Valid from 27 April till 6 May 2018 at the Big Bad Wolf Book Sale at Melaka International Trade Centre, MITC, Melaka
Present this e-voucher at the checkout counter from 27 April till 6 May 2018 to enjoy 3% discount for a minimum purchase of RM50 in a single receipt
Voucher is not refundable, exchangeable for cash or with vouchers of other denominations
Voucher is not valid with other promotions, offers and/or vouchers
The organizers of Big Bad Wolf 2018 reserve the right to change the Terms and Conditions of this promotion at any time
Do not click ""Redeem"" before you enjoy the offer at the checkout counter, otherwise the offer will be invalidated and no replacement voucher will be provided
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Y,,
163,"Monthly Rewards
",,,Yadah: RM6 HERMO Cash Voucher,29,Yadah,online,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"10,000",4/25/18 12:00 AM,5/11/18 11:59 PM,5/11/18 11:59 PM,YADAH6BIRTHDAY,"MyDigi Reward:
RM6 cash voucher for online shopping at Hermo Malaysia. Free shipping with purchase of any two items","Terms and Conditions:
Valid from now till 11 May 2018
Valid for redemption via Hermo Malaysia only at https://www.hermo.my/flagship/2-yadah
Valid for one (1) transaction only
Please enter the promo code for redemption during checkout
This voucher is not exchangeable for cash or any other forms of legal tender
",,,,,,Y,,
164,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
165,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
166,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
167,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
168,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
169,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
170,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
171,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
172,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
173,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
174,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
175,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
176,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
177,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
178,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
179,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
180,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
181,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
182,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
183,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
184,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
185,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
186,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
187,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
188,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
189,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
190,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
191,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
192,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
193,"Monthly Rewards
",,,,0,,,,,,,,,,,,,,"MyDigi Reward:
","Terms and Conditions:

",,,,,,,,
